,Accuracy,Lambda ESM,Genes,Cells,Strains,Tissue depth,Output gene fraction,Output cell fraction,Output strain fraction,Output cells random,In degree,Input fraction,Input signal depth,ESMs,Secretion low,Secretion high,ESM threshold,Cell radius,Voxel length,Timesteps,Warmup timesteps,Delay,Function,Window size,Kappa,Summary,Source dist,Reuse,Auxiliary,Lasso weights,Output,Threads,System
60,0.5535714285714286,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
61,0.6473214285714286,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
62,0.6026785714285714,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
63,0.5892857142857143,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
64,0.6383928571428571,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
65,0.8125,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
66,0.7366071428571429,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
67,0.5625,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
68,0.6919642857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
69,0.6607142857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
70,0.5357142857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
71,0.6517857142857143,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
72,0.5357142857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
73,0.5,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
74,0.6116071428571429,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
75,0.5044642857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
76,0.5089285714285714,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
77,0.71875,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
78,0.7633928571428571,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
79,0.7410714285714286,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
80,0.8883928571428571,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
81,0.5714285714285714,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
82,0.5223214285714286,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
83,0.7589285714285714,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
84,0.7767857142857143,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
85,0.6830357142857143,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
86,0.7589285714285714,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
87,0.6919642857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
